Entity,Code,Year,Mismanaged plastic waste per capita (kg per year),"GDP per capita, PPP (constant 2021 international $)",World regions according to OWID
Saint Vincent and the Grenadines,VCT,2019,11.12612613,16365.325,North America
Samoa,WSM,2019,8.822335025,7033.521,Oceania
Sao Tome and Principe,STP,2019,9.623255814,5702.0835,Africa
Saudi Arabia,SAU,2019,0.209402084,62647.715,Asia
Senegal,SEN,2019,4.029209622,4070.6123,Africa
Seychelles,SYC,2019,0.336734694,34346.07,Africa
Sierra Leone,SLE,2019,11.67784462,2855.229,Africa
Singapore,SGP,2019,0.425223983,120114.13,Asia
Slovakia,SVK,2019,0.315008246,37194.137,Europe
Slovenia,SVN,2019,0.405964406,44580.777,Europe
Solomon Islands,SLB,2019,5.253731343,2661.5999,Oceania
Somalia,SOM,2019,0.002719679,1491.1075,Africa
South Africa,ZAF,2019,12.09855186,14370.238,Africa
South Korea,KOR,2019,0.237306003,46757.26,Asia
Spain,ESP,2019,0.435415196,46896.418,Europe
Sri Lanka,LKA,2019,7.290658413,14637.444,Asia
Sudan,SDN,2019,18.25672109,3625.5232,Africa
Suriname,SUR,2019,39.47160069,22966.74,South America
Sweden,SWE,2019,0.423973695,61232.484,Europe
Syria,SYR,2019,0.029408319,4825.4062,Asia
Tanzania,TZA,2019,29.59055254,3484.6326,Africa
Thailand,THA,2019,19.55720564,21277.84,Asia
Togo,TGO,2019,15.06842366,2501.0308,Africa
Tonga,TON,2019,6.403846154,6875.0254,Oceania
Trinidad and Tobago,TTO,2019,52.42939068,33793.707,North America
Tunisia,TUN,2019,24.7574177,13249.224,Africa
Turkey,TUR,2019,19.85029366,28132.053,Asia
Ukraine,UKR,2019,8.950697822,17636.555,Europe
United Arab Emirates,ARE,2019,0.525534746,68887.84,Asia
United Kingdom,GBR,2019,0.442973493,52645.543,Europe
United States,USA,2019,0.812815117,69112.6,North America
Uruguay,URY,2019,26.75332178,30010.574,South America
Vietnam,VNM,2019,11.53604528,11628.614,Asia
Zimbabwe,ZWE,2019,35.83919426,3294.804,Africa
